name,email,sex,is_teacher,is_student,gender2,fav_subject,int_test,decimal_test,range_test,date_test,time_test,date_time,image_test,file_test,autocalc_test,geolocation_test,barcode_test,geo_area_test,percent_test
subj_00,subj_00@gmail.com,m,Off,On,,"math, english, nepali",72,,157,02-Jul-25,08:46,06/12/2025 13:26,,,,,,"28.137131610128062,85.17726298406494,28.456047036592356,85.4465605606611,28.167575245610642,85.09731935392598",50
subj_01,,m,Off,Off,user response,nepali,38,37.89,93,22-May-24,13:40,25/06/2024 19:37,,,,"27.581217568545263,85.14416405196512",,,
subj_02,,f,Off,Off,sample input,"math, nepali, english",4,,28,18-Dec-25,11:04,18/04/2026 13:33,,,,,,"27.612792965586955,85.42670153663408,27.35090922879801,85.02915137084453,27.422075838032995,85.14679687888334",12
subj_03,subj_03@gmail.com,f,On,On,sample input,english,3,,155,02-Mar-26,,25/10/2026 03:29,,,,"27.94542388967833,85.1809063052767",,,70
subj_04,subj_04@gmail.com,m,On,Off,lorem ipsum,nepali,79,19.28,90,19-May-24,10:43,01/12/2024 13:10,,,,"27.648139559662656,85.31365442035123",,"27.126666481709833,85.2079037010853,27.06242126079284,85.24699540962226,27.494791818499177,85.07226209443303",
subj_05,subj_05@gmail.com,,On,Off,user response,"nepali, english",3,96.46,93,,18:40,21/06/2025 03:34,,,,"27.781008603707306,85.21945573015252",,"28.34424115775965,85.07012454449931,27.831054215308573,85.05428787056772,28.008360139559716,85.1406168919195",73
subj_06,subj_06@gmail.com,,Off,Off,lorem ipsum,math,15,165.96,111,21-Nov-26,07:38,14/11/2024 21:15,,,,,,"28.33751589938237,85.37430400972848,28.336188736317787,85.44672331984893,27.778287540579672,85.1579645259154",33
subj_07,subj_07@gmail.com,,Off,Off,note here,nepali,95,,48,04-Sep-26,,16/06/2024 17:52,,,,"28.45773963909145,85.25037059310117",,,28
subj_08,subj_08@gmail.com,,On,On,user response,"nepali, english, math",81,147.8,166,,03:04,11/03/2025 03:29,,,,"28.38721264396804,85.01242974569313",,"27.15884610562613,85.07016979853195,27.628671478974457,85.48311595607159,27.89406382985156,85.46651161080011",43
subj_09,subj_09@gmail.com,,On,Off,free text,nepali,47,121.2,46,05-Apr-26,14:07,14/02/2025 02:39,,,,"27.35499354449637,85.37300714012173",,,
